lambda_center,p_lambda_density
-11.9,0.0
-11.7,0.0
-11.5,0.0
-11.3,0.0
-11.1,0.0
-10.9,0.0
-10.7,0.0
-10.5,0.0
-10.3,0.0
-10.1,0.0
-9.9,0.0
-9.7,0.0
-9.5,0.0
-9.3,0.0
-9.1,0.0
-8.9,0.0
-8.7,0.0
-8.5,0.0
-8.3,0.0
-8.1,0.0
-7.8999999999999995,0.0
-7.7,0.0
-7.5,0.0
-7.3,0.0
-7.1,0.0
-6.8999999999999995,0.0
-6.699999999999999,0.0
-6.5,0.0
-6.3,0.0
-6.1,0.0
-5.8999999999999995,0.0
-5.699999999999999,0.0
-5.5,0.0
-5.3,0.0
-5.1,0.0
-4.8999999999999995,0.0
-4.699999999999999,0.0
-4.5,0.0
-4.3,0.0
-4.1,0.0
-3.9000000000000004,0.0025
-3.6999999999999993,0.0
-3.5,0.0
-3.299999999999999,0.0025
-3.0999999999999996,0.0
-2.9000000000000004,0.005
-2.6999999999999993,0.005
-2.5,0.005
-2.299999999999999,0.01
-2.0999999999999996,0.015
-1.8999999999999986,0.0225
-1.6999999999999993,0.035
-1.5,0.05
-1.299999999999999,0.075
-1.0999999999999996,0.11
-0.8999999999999986,0.1675
-0.6999999999999993,0.2475
-0.5,0.37
-0.29999999999999893,0.5525
-0.09999999999999964,0.825
0.10000000000000142,0.825
0.3000000000000007,0.5525
0.5,0.37
0.7000000000000011,0.2475
0.9000000000000004,0.1675
1.1000000000000014,0.11
1.3000000000000007,0.075
1.5,0.05
1.700000000000001,0.035
1.9000000000000004,0.0225
2.1000000000000014,0.015
2.3000000000000007,0.01
2.5,0.005
2.700000000000001,0.005
2.9000000000000004,0.005
3.1000000000000014,0.0
3.3000000000000007,0.0025
3.5,0.0
3.700000000000001,0.0
3.9000000000000004,0.0025
4.100000000000001,0.0
4.300000000000001,0.0
4.5,0.0
4.699999999999999,0.0
4.900000000000002,0.0
5.100000000000001,0.0
5.300000000000001,0.0
5.5,0.0
5.699999999999999,0.0
5.900000000000002,0.0
6.100000000000001,0.0
6.300000000000001,0.0
6.5,0.0
6.699999999999999,0.0
6.900000000000002,0.0
7.100000000000001,0.0
7.300000000000001,0.0
7.5,0.0
7.700000000000003,0.0
7.900000000000002,0.0
8.100000000000001,0.0
8.3,0.0
8.5,0.0
8.700000000000003,0.0
8.900000000000002,0.0
9.100000000000001,0.0
9.3,0.0
9.5,0.0
9.700000000000003,0.0
9.900000000000002,0.0
10.100000000000001,0.0
10.3,0.0
10.5,0.0
10.700000000000003,0.0
10.900000000000002,0.0
11.100000000000001,0.0
11.3,0.0
11.5,0.0
11.700000000000003,0.0
11.900000000000002,0.0
