schedule,seed,coverage_m,expected_s_norm,fid_phi,kid_phi,kid_phi_std,precision_phi,recall_phi,density_phi,coverage_phi,classifier_confidence,balance_error,mean_mse,transition_mse,low_noise_mse,high_noise_mse
cosine_vp,20260526,0.38298,0.43680815076565643,5.5241290820200675,1.7586505048270178,0.897235566646686,0.886,0.973,0.6559,0.705,0.9574373960494995,0.053600013256073,0.05825751794363896,0.030525187961757183,0.12263020347146426,0.0036727135858895697
linear_vp,20260526,0.234615,0.29665423804769764,7.8362793322050255,2.0101818776679763,0.7845207230768132,0.899,0.9695,0.6962,0.709,0.9537124037742615,0.10519999265670776,0.05965370250305568,0.03121047963698705,0.12576035519733147,0.0035858343497452818
uniform,20260526,0.12865,0.18359038825865504,10.129952569868717,2.941711332043734,0.9329612225126934,0.8725,0.973,0.6218,0.5985,0.9486521482467651,0.08560001850128174,0.05545297552416741,0.03323982252428929,0.11492064770530253,0.00382523969593047
hang_laplace_b0.5,20260526,0.92329,0.785054603201055,10.753274828922168,1.7729695204455436,0.856959201250248,0.788,0.973,0.43410000000000004,0.4205,0.9519014358520508,0.1597999930381775,0.1923497965617571,0.029809509093562763,0.4310743576463531,0.01099239576005322
dmsr_normal_s0.3,20260526,0.9567,0.9192233756545447,36.643624472545945,5.346219116542314,1.8534648075363689,0.5265,0.3335,0.1864,0.0775,0.9478617310523987,0.3294000029563904,0.3626467258203775,0.031771400632957615,0.6670880076639792,0.1749849705135121
dmsr_normal_s0.8,20260526,0.73428,0.7613915660391591,13.008141232365157,2.1286164179715246,0.66966260084657,0.206,0.414,0.0524,0.0305,0.9372497797012329,0.11820000410079956,0.2505589304259047,0.029775171851118405,0.5119064388906255,0.06713510145816733
dmsr_normal_s1.5,20260526,0.547225,0.5963366491997056,18.719041247617383,3.1447239826163855,1.4688760662418814,0.5855,0.8765,0.2335,0.144,0.9494850635528564,0.2149999737739563,0.1361276402778458,0.030000769222776096,0.291288387906902,0.01842343537410831
dmsr_normal_s2.5,20260526,0.37462,0.4411109911596425,8.800460240690816,2.299718760677299,0.8796091469396493,0.88,0.975,0.6147,0.6475,0.9524120092391968,0.10500001907348633,0.0675122449574701,0.03049698316802581,0.1438699312069837,0.004218768751289805
dmsr_normal_s4.0,20260526,0.245405,0.3110321159238189,11.713216356228354,3.260421628632208,1.0204427150514739,0.8605,0.9385,0.5756,0.5315,0.9462862014770508,0.10519999265670776,0.05578153847163776,0.0317268967628479,0.11605841951335177,0.003994530974202515
dmsr_normal_s6.0,20260526,0.16702,0.22972097846882497,10.960148535028996,2.7335710405985516,0.8924933326289103,0.8735,0.9645,0.5981,0.573,0.9462902545928955,0.12779998779296875,0.05455167701220489,0.0329788438975811,0.11288415815900354,0.003833136964685229
dmsr_laplace_b0.5,20260526,0.81138,0.8187690420370576,22.482082494314398,3.6050175600764724,1.0236623317840534,0.3715,0.3385,0.10360000000000001,0.039,0.9460126757621765,0.21420001983642578,0.17469493963290006,0.03018444124609232,0.3736752067856929,0.026718377793098196
dmsr_cosmix_w0.5,20260526,0.52995,0.5724306993549985,6.303263071270315,2.0276041911154077,1.0108406739412064,0.91,0.9615,0.7019000000000001,0.7205,0.9537997841835022,0.017000019550323486,0.05830213532026392,0.030215404306848843,0.12272563006948023,0.003791604458135279
dmsr_cosmix_w0.8,20260526,0.616895,0.6529655191767855,5.553226847728003,1.7269187851298935,0.9269907312160278,0.8895,0.9745,0.6305000000000001,0.6755,0.957000195980072,0.03320002555847168,0.06345135956944432,0.030258710496127605,0.13467366642811718,0.003944105324883233
