schedule,seed,fid_inception,fid_phi,kid_phi,kid_phi_std,precision_phi,recall_phi,density_phi,coverage_phi,classifier_confidence,balance_error,coverage_m,expected_s,mean_mse,transition_mse,transition_low,lambda_r_star,transition_high
cosine_vp,20260526,64.95929718017578,12.809380359036464,12.90078864863232,11.76538259576715,0.9665,0.838,1.0992000000000002,0.8855,0.9870952367782593,0.009799987077713013,0.65866,0.3235813674126141,0.24180710109612846,0.10173784825019538,-1.5306122448979593,3.367346938775512,4.591836734693878
linear_vp,20260526,68.21905517578125,13.74304508759382,17.857624897781523,16.602351194091113,0.98,0.8345,1.1713,0.9105,0.9904994964599609,0.012199997901916504,0.38714,0.22462870283195077,0.241948674302148,0.08848864329047501,-1.5306122448979593,3.367346938775512,4.591836734693878
uniform,20260526,43.359188079833984,3.496092464984325,4.443755068445689,9.5494072040994,0.97,0.896,1.1106,0.9515,0.9906932711601257,0.0033999979496002197,0.205105,0.12579531341421152,0.22899492285650921,0.07472241937648505,-1.5306122448979593,3.367346938775512,4.591836734693878
dmsr_normal_s0.5,20260526,412.98675537109375,587.6304634744142,107.41230011411724,25.517112797423078,0.5725,0.0,0.23270000000000002,0.0135,0.9999568462371826,0.5,0.992765,0.5405352389603638,0.6750132370740175,0.23228525556623936,-1.5306122448979593,3.367346938775512,4.591836734693878
dmsr_normal_s1.5,20260526,414.4736633300781,475.6995783709413,102.93761981386128,21.369882021487037,0.519,0.0,0.1607,0.013,0.998053789138794,0.5,0.793075,0.39786310899944327,0.3457307344302535,0.10498444316908717,-1.5306122448979593,3.367346938775512,4.591836734693878
dmsr_normal_s4.0,20260526,48.07769775390625,26.469071576389084,23.808128940774935,13.710303958074094,0.946,0.9215,0.9084,0.913,0.9698428511619568,0.02340000867843628,0.511465,0.2632928899846685,0.2414899392024381,0.08095687674358487,-1.5306122448979593,3.367346938775512,4.591836734693878
dmsr_laplace_b0.5,20260526,421.1585998535156,529.154637658396,97.73279780486136,21.898550640190667,0.6895,0.0,0.1767,0.0085,0.999718189239502,0.5,0.95693,0.5203056746130622,0.4237810757011175,0.12075501820072532,-1.5306122448979593,3.367346938775512,4.591836734693878
dmsr_laplace_b1.5,20260526,72.51026153564453,61.65050932186358,47.312476563147335,16.446918766510365,0.935,0.9155,0.8252000000000002,0.7475,0.9542539119720459,0.10350000858306885,0.76035,0.3879774347622467,0.25613867736828977,0.10254375520162284,-1.5306122448979593,3.367346938775512,4.591836734693878
dmsr_laplace_b4.0,20260526,47.874961853027344,10.009342326079011,10.846905275287051,10.540778967217372,0.964,0.8885,1.0348000000000002,0.928,0.982190728187561,0.00959998369216919,0.48455,0.25349043980332214,0.2351475842682703,0.08407805557362735,-1.5306122448979593,3.367346938775512,4.591836734693878
at0_normal_s0.5,20260526,270.6676330566406,349.37737798357193,94.38163848072399,21.105272015825644,0.9965,0.3485,1.0902,0.23,0.9712798595428467,0.4657999984920025,0.999015,0.37588817039885775,0.4274113592167851,0.20909555535763502,-1.5306122448979593,3.367346938775512,4.591836734693878
at0_normal_s1.5,20260526,106.78048706054688,28.6531457448476,23.932086932434697,13.296872610957191,0.9725,0.7125,1.1111000000000002,0.738,0.9856573343276978,0.018999993801116943,0.84474,0.3700661562552626,0.3482062505485374,0.1294445253442973,-1.5306122448979593,3.367346938775512,4.591836734693878
at0_normal_s4.0,20260526,50.56625747680664,7.996428177251436,10.083273067589962,11.592831962647221,0.972,0.886,1.1018000000000001,0.9385,0.9877485632896423,0.0054000020027160645,0.5242,0.28149649470022853,0.23728569174836595,0.090000428725034,-1.5306122448979593,3.367346938775512,4.591836734693878
at0_laplace_b0.5,20260526,146.66578674316406,38.04656922735178,32.46187647365994,14.274544200085886,0.9715,0.655,1.1198000000000001,0.6965,0.9815223813056946,0.009900003671646118,0.97665,0.37456768479365005,0.3848030063090846,0.14779261639341712,-1.5306122448979593,3.367346938775512,4.591836734693878
at0_laplace_b1.5,20260526,87.84272766113281,23.96298607727195,21.823999396738383,14.09169641278717,0.9705,0.7745,1.1234,0.837,0.9840394258499146,0.016200006008148193,0.79691,0.3545923296693134,0.24947543379021225,0.11382667324505746,-1.5306122448979593,3.367346938775512,4.591836734693878
at0_laplace_b4.0,20260526,52.02378463745117,9.459356901010532,11.69953535187076,13.622175029571695,0.9655,0.875,1.09,0.92,0.9878683686256409,0.007400006055831909,0.49795,0.25783933625072775,0.23532616600441542,0.09129550936631858,-1.5306122448979593,3.367346938775512,4.591836734693878
